Time,C1 True RMS (?),C1 AC RMS (?),Position,Strain
41.2,0.488257959,0.488223048,3.839864592,0.008020178
41.3,0.614004147,0.613975645,3.848917758,0.010396765
41.4,0.758157037,0.758136261,3.858448729,0.012898783
41.5,0.89910937,0.899089458,3.868273711,0.015477983
41.6,0.471431327,0.471417414,3.878510186,0.018165207
41.7,0.40128686,0.401253881,3.888371806,0.020754025
41.8,0.319064069,0.319012208,3.897858569,0.023244438
41.9,0.35587852,0.355855722,3.90650993,0.025515546
42,0.39214955,0.392126081,3.914749495,0.027678551
42.1,0.64782653,0.647776731,3.921740953,0.02951391
42.2,0.981559631,0.981536107,3.927616321,0.03105628
42.3,0.548639088,0.548621997,3.931972584,0.032199862
42.4,0.559912958,0.559890691,3.934880291,0.032963177
42.5,0.591525746,0.591513052,3.936359125,0.033351393
42.6,0.721762082,0.721754027,3.936303715,0.033336847
42.7,0.569552955,0.569546443,3.934780673,0.032937026
42.8,0.435274991,0.435259846,3.931526874,0.032082857
42.9,0.41407632,0.414058697,3.92698924,0.030891662
43,0.527532193,0.527522772,3.92094128,0.029303985
43.1,0.413293029,0.413277518,3.913792371,0.027427292
43.2,0.465688977,0.465671272,3.905666958,0.025294254
43.3,0.588577469,0.588548404,3.896773061,0.022959476
43.4,0.661321244,0.661315105,3.887081005,0.020415171
43.5,0.559842563,0.559815747,3.877256023,0.017835971
43.6,0.553475143,0.553445703,3.867132792,0.015178476
43.7,0.466254916,0.466245703,3.85724483,0.012582742
43.8,0.480484265,0.48046145,3.847804091,0.010104411
43.9,0.530706162,0.530666717,3.838915946,0.007771144
44,0.592007792,0.591995303,3.830806582,0.005642318
44.1,0.852222427,0.852207988,3.823756685,0.003791618
44.2,0.909852192,0.909841325,3.817912202,0.002257357
44.3,0.484842976,0.484820753,3.813487811,0.00109589
44.4,0.521940786,0.521924645,3.810489266,0.000308728
44.5,0.592065464,0.592048372,3.809024663,-7.57513E-05
44.6,0.761597317,0.761590096,3.809197557,-3.03641E-05
44.7,0.57884671,0.578829926,3.81090288,0.000417308
44.8,0.461206423,0.461181481,3.813983178,0.001225931
44.9,0.484507576,0.484494344,3.818645261,0.002449795
45,0.489732782,0.489700485,3.824733794,0.004048123
45.1,0.430988635,0.4309502,3.831835165,0.005912336
45.2,0.519917947,0.519900109,3.839938474,0.008039573
45.3,0.570965584,0.570940499,3.848917758,0.010396765
45.4,0.682324185,0.682306886,3.858459933,0.012901724
45.5,0.733756861,0.733744492,3.868333361,0.015493642
45.6,0.41756808,0.417547022,3.878460528,0.018152171
45.7,0.465044361,0.465021315,3.888262195,0.020725251
45.8,0.419797987,0.419752652,3.897633898,0.023185459
45.9,0.459447463,0.45939319,3.906721884,0.025571187
46,0.45774804,0.457709932,3.914716491,0.027669887
46.1,0.516878546,0.516852747,3.921738833,0.029513354
46.2,0.821389882,0.821374824,3.927532145,0.031034182
46.3,0.547790323,0.547785368,3.931949269,0.032193741
46.4,0.596172983,0.59613432,3.934846379,0.032954275
46.5,0.648437175,0.648425838,3.93639001,0.033359501
46.6,0.763832066,0.763820836,3.936375476,0.033355685
46.7,0.673635155,0.673618251,3.934704672,0.032917075
46.8,0.448094761,0.448074169,3.93152203,0.032081585
46.9,0.483490349,0.483474323,3.926942307,0.030879341
47,0.486891169,0.486876031,3.920896164,0.029292141
47.1,0.46567929,0.465654262,3.913793279,0.027427531
47.2,0.525423978,0.525406406,3.905630018,0.025284556
47.3,0.608671577,0.608660535,3.896735818,0.0229497
47.4,0.657545714,0.657512378,3.887062232,0.020410243
47.5,0.618275725,0.618247253,3.877385013,0.017869832
47.6,0.417400861,0.417374288,3.867016217,0.015147873
47.7,0.40220581,0.402187383,3.857342329,0.012608337
47.8,0.353421318,0.353373034,3.847819836,0.010108545
47.9,0.406118998,0.406094836,3.838881428,0.007762083
48,0.364488762,0.364456352,3.830882583,0.00566227
48.1,0.536606931,0.536577715,3.823929579,0.003837005
48.2,0.786903514,0.786863811,3.818032108,0.002288834
48.3,0.495559886,0.495546937,3.813613773,0.001128957
48.4,0.557328079,0.557313864,3.810584343,0.000333687
48.5,0.61697808,0.616959914,3.809110051,-5.33359E-05
48.6,0.774791993,0.774769983,3.809286881,-6.91539E-06
48.7,0.576938416,0.576904542,3.810900154,0.000416592
48.8,0.434603132,0.434575198,3.814102175,0.001257169
48.9,0.527818465,0.527809026,3.81873519,0.002473403
49,0.524640666,0.524633852,3.824834321,0.004074513
49.1,0.455990036,0.455962023,3.831934783,0.005938488
49.2,0.494578447,0.494564281,3.840057168,0.008070732
49.3,0.607870878,0.607850384,3.848963177,0.010408688
