#Digilent WaveForms Logger,,,,,,
#Device Name: Discovery2NI,,,,,,
#Serial Number: SN:210321AD0E05,,,,,,
#Date Time: 2020-04-07 14:51:14.905,,,,,,
,,,,,,
Time (s),C1 DC (V),C1 True RMS (Ṽ),C1 AC RMS (Ṽ),C2 DC (V),C2 True RMS (Ṽ),C2 AC RMS (Ṽ)
21.7,-0.001772013,0.002411219,0.001635221,0.270928781,0.271365523,0.015389705
21.8,-0.001727585,0.002475812,0.001773441,0.219907084,0.220826448,0.020129446
21.9,-0.001643262,0.002433766,0.001795245,0.136475938,0.141124955,0.035924521
22,-0.001569819,0.002391053,0.001803553,0.081455875,0.082566988,0.013499921
22.1,-0.001337251,0.002210702,0.001760387,0.081102863,0.081831722,0.010897542
22.2,-0.001543525,0.002311267,0.001720316,0.081063538,0.081471179,0.008139777
22.3,-0.001504084,0.002353049,0.001809577,0.080746192,0.081179287,0.008374311
22.4,-0.001816442,0.002558428,0.001801692,0.080679888,0.081730721,0.013063934
22.5,-0.001750253,0.002526333,0.001821806,0.080634619,0.080923643,0.00683332
22.6,-0.001468723,0.002314207,0.001788409,0.080744363,0.08137537,0.010114275
22.7,-0.001098336,0.002153326,0.001852152,0.080089096,0.080370365,0.006718057
22.8,-0.00119354,0.0021731,0.001815992,0.080315902,0.080514118,0.005646169
22.9,-0.00102036,0.002040589,0.001767165,0.079613535,0.08010954,0.008900755
23,-0.001404347,0.002258401,0.001768668,0.078918485,0.079798545,0.01181865
23.1,-0.001543525,0.002350991,0.001773327,0.079284758,0.07968058,0.00793233
23.2,-0.001523124,0.002299989,0.001723381,0.078471733,0.078570758,0.003943506
23.3,-0.001742999,0.002510465,0.001806762,0.078659671,0.078992683,0.007245704
23.4,-0.002135146,0.002766755,0.001759569,0.078061562,0.078602195,0.009203133
23.5,-0.001819162,0.002551526,0.001789116,0.078076194,0.07868754,0.009789625
23.6,-0.001459656,0.002249707,0.001711896,0.077646361,0.077853171,0.005670877
23.7,-0.001272876,0.002140448,0.001720844,0.077660994,0.078040959,0.007691643
23.8,-0.001154098,0.002106914,0.001762709,0.076684723,0.078245513,0.015550355
23.9,-0.001518591,0.002310062,0.001740766,0.076458374,0.07732098,0.011517417
24,-0.001516324,0.002351522,0.001797336,0.075365957,0.075622066,0.006218469
24.1,-0.001346772,0.002183375,0.001718527,0.074704745,0.075356044,0.009886072
24.2,-0.001851349,0.002547821,0.0017504,0.073908181,0.075212512,0.013946423
24.3,-0.001711718,0.002468842,0.001779102,0.072850059,0.073110216,0.006162187
24.4,-0.001759319,0.002529943,0.001818077,0.072320541,0.073529707,0.013279954
24.5,-0.001673636,0.0024384,0.001773341,0.070965193,0.071723526,0.010402191
24.6,-0.001168605,0.002089639,0.001732326,0.069315364,0.069634425,0.00665834
24.7,-0.000703016,0.001995799,0.001867882,0.06719912,0.067825336,0.009195353
24.8,-0.001078842,0.002065037,0.001760817,0.064624691,0.065435821,0.010271124
24.9,-0.001121457,0.002077694,0.001749042,0.05833266,0.05975459,0.012958078
25,-0.001011293,0.001988421,0.001712047,0.062503874,0.063208911,0.009414463
25.1,-0.000891609,0.001976412,0.00176387,0.089283418,0.089973834,0.011124839
25.2,-0.00110831,0.002061662,0.001738418,0.119372222,0.119833593,0.010505365
25.3,-0.000999506,0.002160527,0.001915428,0.145507472,0.146092131,0.013057039
25.4,-0.000861688,0.002103686,0.001919112,0.177806261,0.178301499,0.013279981
25.5,-0.001143218,0.002237815,0.001923764,0.208816007,0.209230601,0.013165088
25.6,-0.000996786,0.002312936,0.002087125,0.247367959,0.247741692,0.013602897
25.7,-0.001116017,0.002507967,0.002245975,0.28631865,0.287542306,0.026499216
25.8,-0.001381679,0.00274066,0.002366893,0.337720338,0.339613271,0.035807083
25.9,-0.000800032,0.002669945,0.002547264,0.421121761,0.423585958,0.045623747
26,-0.000756964,0.002511709,0.00239493,0.473380373,0.473518716,0.011445417
26.1,-0.000536183,0.002238417,0.00217325,0.44842122,0.448534515,0.010080717
26.2,-0.000542983,0.002058827,0.001985935,0.42628205,0.426379524,0.0091166
26.3,-0.000806379,0.002033394,0.001866667,0.402681903,0.402831732,0.010985893
26.4,-0.001108763,0.002131464,0.00182038,0.374707971,0.374939526,0.013175151
26.5,-0.001188099,0.002180022,0.001827817,0.348525622,0.348694539,0.010852304
26.6,-0.001459656,0.002249707,0.001711896,0.314094584,0.314523784,0.016425687
26.7,-0.001144578,0.002101039,0.001761905,0.276309473,0.276773236,0.016015586
26.8,-0.001134151,0.00208157,0.001745462,0.22842739,0.229222161,0.01907161
26.9,-0.001323651,0.002210984,0.001770988,0.133868129,0.138218643,0.034405191
27,-0.000880728,0.002129682,0.001939036,0.08061587,0.080992676,0.007803523
27.1,-0.000358923,0.002006712,0.001974353,0.07956415,0.081155038,0.015990189
27.2,-0.000599652,0.002017626,0.001926456,0.080012732,0.080316,0.006972989
27.3,-0.000827687,0.002053405,0.001879204,0.079717793,0.08018528,0.008645958
27.4,-0.001062068,0.002118898,0.001833505,0.079926765,0.080646242,0.010748419
27.5,-0.001030787,0.002157054,0.001894825,0.079701788,0.080394644,0.010532036
27.6,-0.001257462,0.002207582,0.001814445,0.079838055,0.080176718,0.007361462
27.7,-0.00092833,0.002100791,0.001884549,0.079124714,0.079305826,0.005356652
27.8,-0.00073067,0.002058244,0.001924186,0.078415031,0.079191274,0.011060772
27.9,-0.000465914,0.002001127,0.001946133,0.078812856,0.079267768,0.008480142
28,-0.000992252,0.002083779,0.001832367,0.078756612,0.07896703,0.005760892
28.1,-0.000952811,0.0020861,0.001855792,0.078487737,0.078620282,0.004563322
28.2,-0.000889342,0.002092596,0.00189421,0.077767995,0.077971542,0.005630314
28.3,-0.000605545,0.001987335,0.001892832,0.07782241,0.077955105,0.004546526
28.4,-0.000795045,0.00205233,0.001892078,0.077441504,0.07770172,0.006353797
28.5,-0.000900222,0.002083003,0.00187843,0.076839737,0.078039897,0.013633792
28.6,-0.001062068,0.002120487,0.001835341,0.076890951,0.079029413,0.018260057
28.7,-0.000416045,0.001942805,0.001897735,0.076569491,0.076928015,0.007418389
28.8,-0.000475888,0.001963125,0.001904571,0.076032199,0.076691233,0.010032442
28.9,-0.000979105,0.002104115,0.001862431,0.075237921,0.075533995,0.006681283
29,-0.000792779,0.002044435,0.001884467,0.074150077,0.074871248,0.010366772
29.1,-0.000161716,0.001955182,0.001948483,0.074177513,0.074519838,0.007134621
29.2,-0.00025148,0.001985394,0.001969403,0.073292239,0.073819779,0.008809513
29.3,-0.000582425,0.001972052,0.001884083,0.07270419,0.073121269,0.007798761
29.4,-0.000973212,0.002049002,0.001803128,0.071982618,0.073295807,0.01381224
29.5,-0.000551597,0.001959524,0.001880286,0.070864594,0.071464391,0.009239505
29.6,-0.000244226,0.001947952,0.001932581,0.069002592,0.069525822,0.00851365
29.7,-0.000885715,0.002101934,0.00190621,0.067110867,0.067758542,0.009346209
29.8,-0.000956891,0.002048053,0.001810768,0.063959821,0.064343379,0.007015105
29.9,-0.000845821,0.002000106,0.00181246,0.058757006,0.059526524,0.009540509
