Time,Position,Strain,
145.57,0.265206393,,
145.615,0.265252021,,
145.66,0.265242097,,
145.705,0.26528227,,
145.75,0.265250531,,
145.795,0.265276518,,
145.84,0.265311387,,
145.885,0.265335676,,
145.93,0.265349832,,
145.975,0.265378681,,
146.02,0.265370515,,
146.065,0.26537427,,
146.11,0.265386727,,
146.155,0.265394416,,
146.2,0.265394595,,
146.245,0.265405622,,
146.29,0.265435722,,
146.335,0.265388813,,
146.38,0.265459594,,
146.425,0.265425381,,
146.47,0.265431341,,
146.515,0.265443352,,
146.56,0.265460697,,
146.605,0.265467313,,
146.65,0.265493837,,
146.695,0.265470621,,
146.74,0.265464154,,
146.785,0.265471396,,
146.83,0.265477446,,
146.875,0.265482065,,
146.918,0.265527931,,
146.919,0.265528199,,
146.921,0.265528169,,
146.923,0.265519973,,
146.968,0.265650627,,
146.988,0.265650925,,
147.013,0.265650865,,
147.058,0.265637067,,
147.099,0.265634653,,
147.112,0.265620467,,
147.125,0.265618738,,
147.169,0.265631851,,
147.184,0.265696314,,
147.211,0.265672442,,
147.211,0.265672442,,
147.274,0.260936466,,
147.364,0.252982584,,
147.448,0.245593068,,
147.509,0.24023698,,
147.57,0.234873992,,
147.631,0.229570774,,
147.711,0.222513941,,
147.772,0.217192349,,
147.874,0.208268595,,
147.935,0.202885059,,
147.996,0.197601227,,
148.057,0.192236883,,
148.118,0.186908377,,
148.179,0.181545434,,
148.236,0.176587937,,
148.297,0.171224383,,
148.358,0.16587062,,
148.419,0.160577936,,
148.478,0.155423818,,
148.539,0.150115652,,
148.6,0.144775687,,
148.622,0.142841486,,
148.683,0.137476994,,
148.723,0.134302123,,
148.729,0.134647114,,
148.746,0.136392175,,
148.807,0.141852079,,
148.868,0.147224946,,
148.929,0.15258777,,
148.99,0.157997487,,
149.051,0.163377209,,
149.112,0.168717814,,
149.173,0.174098817,,
149.234,0.179489417,,
149.295,0.184866978,,
149.356,0.190228192,,
149.417,0.195555983,,
149.478,0.200920967,,
149.539,0.206227717,,
149.6,0.211632368,,
149.661,0.216960845,,
149.722,0.222293583,,
149.783,0.227666167,,
149.85,0.233539996,,
149.911,0.238908944,,
149.972,0.244205472,,
150.033,0.249531147,,
150.094,0.254935649,,
150.155,0.260261413,,
150.22,0.265910831,,
150.232,0.266239133,,
150.293,0.266026851,,
150.354,0.266026345,,
150.415,0.265968171,,
150.476,0.265979704,,
150.537,0.265936163,,
150.598,0.265928504,,
150.659,0.265895155,,
150.72,0.265918103,,
150.781,0.265891698,,
150.842,0.265850243,,
150.903,0.265856412,,
150.964,0.265876886,,
151.025,0.265848663,,
151.086,0.265817728,,
151.147,0.265872148,,
151.208,0.265823063,,
151.269,0.265811291,,
151.276,0.265815821,,
151.337,0.265801337,,
151.398,0.265801039,,
151.459,0.26577827,,
151.52,0.265787539,,
151.581,0.265783337,,
151.642,0.265780476,,
151.703,0.265761998,,
151.764,0.265803632,,
151.825,0.265734699,,
151.886,0.26577833,,
151.947,0.265766677,,
152.008,0.26575869,,
152.069,0.265738931,,
152.13,0.265734282,,
152.191,0.265748259,,
152.252,0.265773561,,
152.313,0.265767661,,
152.374,0.265726206,,
152.435,0.265766468,,
152.496,0.265730885,,
152.557,0.265721318,,
152.618,0.265733448,,
152.679,0.265734997,,
152.74,0.265718338,,
152.801,0.265728798,,
152.862,0.265733954,,
152.923,0.265724388,,
152.984,0.26569533,,
153.045,0.265780476,,
153.106,0.265702364,,
153.167,0.265728351,,
153.213,0.265731987,,
153.383,0.251581308,,
153.444,0.246281651,,
153.59,0.233396095,,
153.651,0.228037638,,
153.712,0.222713438,,
153.736,0.220574466,,
153.8,0.214966682,,
153.861,0.209587363,,
153.959,0.201052023,,
154.02,0.195698944,,
154.11,0.187803445,,
154.208,0.179208023,,
154.269,0.173902375,,
154.33,0.168545885,,
154.391,0.163194789,,
154.461,0.157062126,,
154.522,0.151742695,,
154.599,0.145011394,,
154.66,0.139646424,,
154.725,0.134293674,,
154.731,0.134730159,,
154.747,0.136382593,,
154.75,0.136668502,,
154.811,0.14208038,,
154.869,0.147171272,,
154.93,0.152557595,,
154.991,0.157961098,,
155.052,0.163304252,,
155.113,0.168693958,,
155.174,0.174062041,,
155.235,0.179475171,,
155.296,0.184777332,,
155.357,0.190167753,,
155.406,0.19443844,,
155.467,0.19980785,,
155.528,0.205195022,,
155.589,0.210512114,,
155.65,0.215885145,,
155.711,0.221209374,,
155.772,0.226545018,,
155.833,0.231930343,,
155.894,0.237252546,,
155.955,0.242616606,,
156.016,0.247988415,,
156.077,0.253265735,,
156.138,0.258662787,,
156.199,0.26398727,,
156.211,0.265014109,,
156.231,0.266217169,,
156.292,0.266023156,,
156.353,0.265976962,,
156.414,0.265972492,,
156.475,0.265958246,,
156.536,0.265977022,,
156.597,0.265898046,,
156.658,0.265916136,,
156.719,0.265909967,,
156.78,0.265873906,,
156.841,0.265890446,,
156.902,0.265829262,,
156.963,0.265864578,,
157.024,0.265840497,,
157.085,0.265832987,,
157.146,0.265802678,,
157.207,0.265843835,,
157.268,0.265820888,,
157.329,0.265805837,,
157.39,0.265805182,,
157.451,0.265781906,,
157.512,0.265774545,,
157.573,0.265781727,,
157.634,0.265794393,,
157.695,0.265774783,,
157.756,0.265806225,,
157.817,0.265755322,,
157.878,0.265764591,,
157.939,0.265765008,,
158,0.265768853,,
158.061,0.265745845,,
158.122,0.265782592,,
158.183,0.265753117,,
158.244,0.265732524,,
158.305,0.265754995,,
158.366,0.265721407,,
158.427,0.265720454,,
158.488,0.265737709,,
158.549,0.265726146,,
158.61,0.265713003,,
158.671,0.265754816,,
158.732,0.265717503,,
158.793,0.26569995,,
158.854,0.265726504,,
158.915,0.265744683,,
158.976,0.265732196,,
159.037,0.265727636,,
159.098,0.265728023,,
159.159,0.265721586,,
159.214,0.265722868,,
159.279,0.260894921,,
159.341,0.255407658,,
159.349,0.254707482,,
159.355,0.254167792,,
159.453,0.245602709,,
159.514,0.240226311,,
159.575,0.234831166,,
159.641,0.229058621,,
159.702,0.223719818,,
159.77,0.217736629,,
159.831,0.212395949,,
159.906,0.20583753,,
159.967,0.200469581,,
160.028,0.195121316,,
160.05,0.193197904,,
160.143,0.185068143,,
160.205,0.179644702,,
160.266,0.174304111,,
160.327,0.168950615,,
160.388,0.163605122,,
160.449,0.158263249,,
160.511,0.152842535,,
160.572,0.147476373,,
160.633,0.142147837,,
160.694,0.136833845,,
160.725,0.134327261,,
160.726,0.134346722,,
160.732,0.134702532,,
160.793,0.140308274,,
160.854,0.145674301,,
160.946,0.153836234,,
161.007,0.159188224,,
161.068,0.164560748,,
161.129,0.169938592,,
161.19,0.175334079,,
161.275,0.182790918,,
161.336,0.188148332,,
161.397,0.193500949,,
161.458,0.198902053,,
161.519,0.204249842,,
161.58,0.209544194,,
161.641,0.21489389,,
161.702,0.220283506,,
161.763,0.22563347,,
161.824,0.230982241,,
161.885,0.236281392,,
161.946,0.241670978,,
161.962,0.243101877,,
162.023,0.248399538,,
162.056,0.251321253,,
162.117,0.25662553,,
162.178,0.262046572,,
162.219,0.26560941,,
162.233,0.26615819,,
162.294,0.266044614,,
162.355,0.265998569,,
162.416,0.265998182,,
162.477,0.26592901,,
162.538,0.265964445,,
162.599,0.265927341,,
162.66,0.265906152,,
162.721,0.265869346,,
162.782,0.265905705,,
162.843,0.26587623,,
162.904,0.265888539,,
162.965,0.26587322,,
163.026,0.265840855,,
163.087,0.265849736,,
163.148,0.265812871,,
163.209,0.265862968,,
163.27,0.265818325,,
163.331,0.265832093,,
163.392,0.26581746,,
163.453,0.26576626,,
163.514,0.265780476,,
163.575,0.265779164,,
163.636,0.265775856,,
163.697,0.265772459,,
163.758,0.265771207,,
163.819,0.26575717,,
163.88,0.265751925,,
163.941,0.265759614,,
164.002,0.26576927,,
164.063,0.265776095,,
164.124,0.265733716,,
164.185,0.265720692,,
164.246,0.265794632,,
164.307,0.265713391,,
164.368,0.265749332,,
164.429,0.26573607,,
164.49,0.265744802,,
164.551,0.265716341,,
164.612,0.265721318,,
164.673,0.265738126,,
164.734,0.265739259,,
164.795,0.265723315,,
164.856,0.265735385,,
164.917,0.265720036,,
