"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)","Rotation(Rotary:Rotation) (deg)","Torque(Rotary:Torque) (N·m)","Force(Linear:External Load Cell) (lbf)",
1.281,1.281,1,1,1,0,0,0.338087375939246,0.39206817057565,0.000334563665091991,-0.0818496386995066,0.507052852010138,
1.291,1.291,1,1,1,0,0,0.338062818825888,0.716056662142607,0.000150664709508419,-0.0895900249214462,0.512432148883168,
1.301,1.301,1,1,1,0,0,0.337988342823121,0.0979192537752955,0.000174595043063164,-0.143164525207448,0.511652162710995,
1.311,1.311,1,1,1,0,0,0.337957467617492,0.128615645295495,0.000112485140562057,-0.102349666483061,0.510999069811608,
1.321,1.321,1,1,1,0,0,0.337902571740302,0.883974119396609,5.60330227017403E-05,-0.0865605833862417,0.512723607596698,
1.331,1.331,1,1,1,0,0,0.337819363657178,0.120066104210682,0.000590295530855656,-0.138328362200918,0.512157174653515,
1.341,1.341,1,1,1,0,0,0.337748910967886,-0.0477582207874943,-0.000179288908839226,-0.128700230888963,0.512186371747841,
1.351,1.351,1,1,1,0,0,0.337724949900969,0.586844970409827,0.000236285850405693,-0.114205421181619,0.507155717052187,
1.361,1.361,1,1,1,0,0,0.337685998266069,0.291634345893057,0.000553750433027744,-0.156393472404597,0.507554790574308,
1.371,1.371,1,1,1,0,0,0.337618078774149,0.441893927442478,0.000540465116500854,-0.0892701394658359,0.503442330943903,
1.381,1.381,1,1,1,0,0,0.337528522796432,1.43012029401054,7.46408477425575E-05,-0.0841130387489074,0.503679167342212,
1.391,1.391,1,1,1,0,0,0.337489451952243,0.247564162436266,0.000502285547554493,-0.11138853511363,0.505127054509458,
1.401,1.401,1,1,1,0,0,0.337438758202461,0.246707345682668,0.000219941139221191,-0.0993170681834921,0.506462577101573,
1.411,1.411,1,1,1,0,0,0.337367322036541,1.31199134072104,-6.37443736195564E-05,-0.0986099529658271,0.50707227017335,
1.421,1.421,1,1,1,0,0,0.337278600523841,0.388100736477469,6.46244734525681E-05,-0.126031712746108,0.507664919965185,
1.431,1.431,1,1,1,0,0,0.337228622029787,0.496115526784287,0.000313818454742432,-0.105540103000859,0.504989730376817,
1.441,1.441,1,1,1,0,0,0.337151970457511,1.08119098433342,-0.000131470151245594,-0.116035292258285,0.507216718955802,
1.451,1.451,1,1,1,0,0,0.337106194090864,-0.386610620384256,0.000179666094481945,-0.150145183472313,0.505386382449329,
1.461,1.461,1,1,1,0,0,0.337044086051742,0.357870006236399,0.000372030772268772,-0.0851568754987937,0.503065050468265,
1.477,1.477,1,1,1,0,0,0.336926456286667,0.821407869932805,0.000434056855738163,-0.0860176199155347,0.497168634404669,
1.487,1.487,1,1,1,0,0,0.336879189803918,0.212565060696913,0.000295168720185757,-0.121335499626408,0.497851669459799,
1.497,1.497,1,1,1,0,0,0.336796458557947,-0.0121816990620208,-0.000229747965931892,-0.121867940549233,0.499574391157682,
1.507,1.507,1,1,1,0,0,0.336689080791653,1.05852259326541,0.000180713832378387,-0.106595514553415,0.501724079614529,
1.517,1.517,1,1,1,0,0,0.336636181670039,0.499431035091687,0.00066753476858139,-0.122644504582918,0.502071697332456,
1.527,1.527,1,1,1,0,0,0.336554046470509,0.66634266398277,0.000477978028357029,-0.156559728661131,0.502398127366303,
1.537,1.537,1,1,1,0,0,0.336473848421911,1.13725660234058,0.000632079318165779,-0.0973346201625386,0.500092953904746,
1.547,1.547,1,1,1,0,0,0.336456503470486,0.458564601235305,-6.10621646046638E-05,-0.124687983381587,0.49911385006856,
1.557,1.557,1,1,1,0,0,0.336338635286835,0.077970324577399,0.000240057706832886,-0.112946924454942,0.498923114345502,
1.567,1.567,1,1,1,0,0,0.33628761371151,0.725854175455486,-0.000102217309176922,-0.0825272907831022,0.498058424003348,
1.577,1.577,1,1,1,0,0,0.336206938825759,0.0917725248907895,0.000471188686788082,-0.121527009997858,0.4975195117663,
1.587,1.587,1,1,1,0,0,0.336098070943363,0.770241008582084,2.37207859754562E-05,-0.115174547841544,0.497047096260826,
1.597,1.597,1,1,1,0,0,0.336030896509494,1.0577775352188,0.000234022736549377,-0.0778142415867907,0.494141822393251,
1.611,1.611,1,1,1,0,0,0.335966702307829,0.427495680691803,0.000516576692461967,-0.118241870549123,0.494866813719494,
1.615,1.615,1,1,1,0,0,0.335927810277573,2.15746458555924,-0.000133607536554337,-0.0772754871352365,0.496565600319317,
1.625,1.625,1,1,1,0,0,0.335862751808569,-0.096000729305283,-6.2151812016964E-05,-0.120893552615367,0.491315478469667,
1.635,1.635,1,1,1,0,0,0.335823740569024,0.396315001441309,0.000379784032702446,-0.0828324446716779,0.492993543048797,
1.645,1.645,1,1,1,0,0,0.335809882489277,1.07763333216087,0.000599934719502926,-0.0833669901040793,0.494126455501501,
1.655,1.655,1,1,1,0,0,0.335722680895001,-0.310298049960557,0.000320021063089371,-0.105721090824428,0.492932028915457,
1.665,1.665,1,1,1,0,0,0.335661377518574,0.296887005121635,0.000301371328532696,-0.139471110900895,0.492607927198542,
1.675,1.675,1,1,1,0,0,0.335589851945688,0.985637289856103,0.000139558687806129,-0.112623882234967,0.494343827170259,
1.685,1.685,1,1,1,0,0,0.335577662795975,0.348631286458475,6.23613595962524E-05,-0.142983537383879,0.493614318909169,
1.695,1.695,1,1,1,0,0,0.335480209202918,0.692009913688373,0.000238800421357155,-0.134553924275674,0.493190751492925,
1.705,1.705,1,1,1,0,0,0.335443939777001,0.780485556722928,7.7616423368454E-05,-0.1195182556072,0.494780712559354,
1.715,1.715,1,1,1,0,0,0.335333969208689,0.33816322090365,0.000258120708167553,-0.122646609092495,0.494859921901376,
1.725,1.725,1,1,1,0,0,0.335221882675513,-0.246465201817521,-2.48104333877563E-05,-0.132770352409689,0.491909944348709,
1.736,1.736,1,1,1,0,0,0.335121150827032,0.87860970146104,-9.50507819652557E-05,-0.104071155316543,0.491291403672592,
1.746,1.746,1,1,1,0,0,0.335053231335113,0.855829551686038,0.000623906962573528,-0.080705837744742,0.490140842577544,
1.756,1.756,1,1,1,0,0,0.33497222862382,0.49155204624882,0.00016902107745409,-0.108838921761841,0.490051621472715,
1.773,1.773,1,1,1,0,0,0.334826495269065,-0.33095478430273,0.000345921143889427,-0.110475177957479,0.486697867197726,
1.79,1.79,1,1,1,0,0,0.334713127236042,0.311732286700275,0.000297934748232365,-0.125382471541794,0.487259922905077,
1.8,1.8,1,1,1,0,0,0.334611143690035,0.620912749590921,0.000140313059091568,-0.109995349774063,0.489240296154639,
1.81,1.81,1,1,1,0,0,0.334492143018147,0.488366923099576,-0.000317506492137909,-0.159984817996696,0.485960302960051,
1.82,1.82,1,1,1,0,0,0.334409143551277,0.316631043356714,0.000284397974610329,-0.094156810702199,0.481548514904886,
1.83,1.83,1,1,1,0,0,0.334344114884596,0.517610451428892,0.000353464856743813,-0.0950059803162699,0.484367873877675,
1.84,1.84,1,1,1,0,0,0.334289934263135,-0.392980866682744,-4.06103208661079E-05,-0.166817108336426,0.484529133108376,
1.85,1.85,1,1,1,0,0,0.334207173214842,1.12632287550663,0.000652740709483624,-0.120852514678627,0.485803141567151,
1.86,1.86,1,1,1,0,0,0.334148164617211,0.577419986120251,-1.19861215353012E-05,-0.116872887069686,0.484973329412636,
1.87,1.87,1,1,1,0,0,0.334059532511477,0.200420614537223,0.000589457340538502,-0.130584819214614,0.481143434325082,
1.88,1.88,1,1,1,0,0,0.334017064202576,0.651162106283157,0.000392063520848751,-0.101110110342571,0.478991045020593,
1.89,1.89,1,1,1,0,0,0.333927597631825,0.248830761115498,0.000987052917480469,-0.104207948439008,0.479932104158112,
1.9,1.9,1,1,1,0,0,0.333798374763478,-0.374075018750097,0.000369055196642876,-0.115213481268707,0.480030638530669,
1.91,1.91,1,1,1,0,0,0.333742793432881,0.530779352402667,0.0002303346991539,-0.133565857029562,0.484175461766426,
1.92,1.92,1,1,1,0,0,0.333638723724333,1.01983545419535,0.000178744085133076,-0.143585427122725,0.485334730766799,
1.93,1.93,1,1,1,0,0,0.333543058270598,-0.0219233330214044,0.000535394065082073,-0.14028871287132,0.481221293243283,
1.94,1.94,1,1,1,0,0,0.333437856073812,0.692419695614007,0.000317003577947617,-0.101384748842289,0.482040953935975,
1.95,1.95,1,1,1,0,0,0.333357509013604,0.555012365368552,3.22284176945686E-05,-0.0999663093878065,0.48151386954894,
1.969,1.969,1,1,1,0,0,0.333176817535101,0.581499178925423,0.00119429547339678,-0.0556905846650561,0.477042057483272,
1.979,1.979,1,1,1,0,0,0.333082314371926,-0.0631995488034197,-7.06175342202187E-05,-0.0949018070922389,0.474943312600894,
1.989,1.989,1,1,1,0,0,0.333004947543921,-0.102780757529405,-3.80119308829308E-05,-0.0979533459779954,0.475591003804999,
1.995,1.995,1,1,1,0,0,0.332949127794749,0.0958517176959617,0.00131030101329088,-0.127706902368909,0.480794838714043,
2.005,2.005,1,1,1,0,0,0.332848008516081,1.10557300890863,0.000836430117487907,-0.139153329954861,0.47868668743126,
2.024,2.024,1,1,1,0,0,0.332650150900086,1.02944670299658,0.000555720180273056,-0.0968832028584042,0.474666848248405,
2.034,2.034,1,1,1,0,0,0.332538183576198,0.71473418410988,0.000682161189615726,-0.0766504477910505,0.477134957328853,
2.044,2.044,1,1,1,0,0,0.332442577727108,-0.0589713443889263,0.000680065713822842,-0.112689122031835,0.47472715165694,
2.054,2.054,1,1,1,0,0,0.332354988702645,0.619981427032663,0.000130380503833294,-0.100868091741287,0.472068260287095,
2.064,2.064,1,1,1,0,0,0.332235242972705,0.946037454678953,0.000840956345200539,-0.117247489774282,0.475701505726585,
2.074,2.074,1,1,1,0,0,0.332157071482006,-0.389199697096214,0.000279955565929413,-0.105997833833722,0.47120464097073,
2.084,2.084,1,1,1,0,0,0.33203869665888,0.162404027709112,0.000192532315850258,-0.105040281976468,0.47126066027611,
2.094,2.094,1,1,1,0,0,0.331913616313296,0.95777211891301,-7.30063766241074E-05,-0.110600396277274,0.469858501253406,
2.104,2.104,1,1,1,0,0,0.331804211989103,-0.176541504143475,0.000304053537547588,-0.118296587798109,0.470023672056552,
2.114,2.114,1,1,1,0,0,0.331688817398181,0.831559285817822,0.000283475965261459,-0.122822335642123,0.469416679832416,
2.124,2.124,1,1,1,0,0,0.331564929145478,0.766385333190894,0.000736895017325878,-0.115307131944856,0.471080355412907,
2.134,2.134,1,1,1,0,0,0.331455405611997,0.696051853591215,0.000304221175611019,-0.114664204269271,0.470953927803507,
2.144,2.144,1,1,1,0,0,0.331366028448212,0.482965252261677,1.63447111845016E-05,-0.0575351873087565,0.469140634576975,
2.154,2.154,1,1,1,0,0,0.331233467719797,0.5212426094061,-9.19913873076439E-05,-0.112712271637175,0.470344188165392,
2.164,2.164,1,1,1,0,0,0.331171478889963,-0.367518507939957,0.000239722430706024,-0.102194985029197,0.469539242435709,
2.174,2.174,1,1,1,0,0,0.331057306194244,0.617019821297401,0.000123507343232632,-0.110281563076452,0.468841864948279,
2.184,2.184,1,1,1,0,0,0.330945160056424,0.685993569962023,-9.35420393943787E-05,-0.110956058395683,0.470467356131087,
2.194,2.194,1,1,1,0,0,0.330837901499418,-0.212900336817886,0.000332677736878395,-0.131223537871047,0.467572000893642,
